"id","type","project_full_name","fix_commit_hash","component","symptom","bug_pattern","complexity","project_clone_url"
"1","Classical","Qiskit/qiskit-ignis","ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666","Quantum State Evaluation","Crash - OS/PL Error, Crash","Missing Error Handling","19","https://github.com/Qiskit/qiskit-ignis.git"
"10","Quantum","Qiskit/qiskit-ignis","e696fee3e52550f50fb240a4c6356c61c9f01725","Quantum State Evaluation","Incorrect Output","Incorrect Numerical Computation","2","https://github.com/Qiskit/qiskit-ignis.git"
"1010","Quantum","Qiskit/qiskit-aer","dc7a2413e6c373455c00cff51e37eaaa17a4a7ac","Optimizations","Crash - Application Error, Crash","Barrier Related","6","https://github.com/Qiskit/qiskit-aer.git"
"1012","Classical","Qiskit/qiskit-aer","7de864cc989b354d0ad1febbd62b891270927b6b","Testing","Failing Test","Flaky Test, Misconfiguration, Misconfiguration - Testing","1","https://github.com/Qiskit/qiskit-aer.git"
"1019","Quantum","Qiskit/qiskit-aer","f3b4303f478ff84bf8da15761827287d3a2f16e4","Simulator","Incorrect Output","API Misuse - Internal, Typo","1","https://github.com/Qiskit/qiskit-aer.git"
"1022","Quantum","Qiskit/qiskit-aer","0eab74b57f2704ad0893132b6c5f214603550c39","Quantum Abstractions","Incorrect Output","Incorrect IR - Wrong Information","2","https://github.com/Qiskit/qiskit-aer.git"
"104","Classical","PennyLaneAI/pennylane","01196202394aed89f43d3044d64eb9e41f7d583c","Quantum Abstractions","Inefficiency","Type Problem","1","https://github.com/PennyLaneAI/pennylane.git"
"1057","Classical","Qiskit/qiskit-aer","48498dd0edc4e1ed1ee4bb287edd89541af104b2","Quantum Abstractions, Simulator","Incorrect Final Measurement, Incorrect Output","Overlooked Corner Case","13","https://github.com/Qiskit/qiskit-aer.git"
"1067","Quantum","Qiskit/qiskit-aer","72674296de7de6cfdf812595be33a2f6f637a29f","Simulator, Quantum State Evaluation","Incorrect Final Measurement, Incorrect Output","Wrong Concept","3","https://github.com/Qiskit/qiskit-aer.git"
"107","Quantum","PennyLaneAI/pennylane","474f337b176f706a180ac62d6c7840c01f604192","Domain-specific Abstractions","Crash - Application Error, Crash","Type Problem, GPU related","7","https://github.com/PennyLaneAI/pennylane.git"
"1070","Quantum","Qiskit/qiskit-aer","7fe4f9eadc835705c25c13c753b8550b199efa44","Testing","Failing Test","API Outdated - External","2","https://github.com/Qiskit/qiskit-aer.git"
"1073","Quantum","Qiskit/qiskit-aer","20c3b06c2464ce0342a920dfbe91c6a496707f7f","Simulator","Crash - OS/PL Error, Crash","Wrong Concept, Wrong Identifier","1","https://github.com/Qiskit/qiskit-aer.git"
"1076","Quantum","Qiskit/qiskit-aer","759a01f43726d5146422141bfdcc83fc34c180d0","Simulator","Incorrect Output","Incorrect IR - Missing Information, Incorrect Application Logic","13","https://github.com/Qiskit/qiskit-aer.git"
"1092","Classical","Qiskit/qiskit-aer","bd00cf0e317a262f9b5cc500a07505a8323bc792","Simulator","Crash - OS/PL Error, Crash","Memory Leak","100+","https://github.com/Qiskit/qiskit-aer.git"
"1096","Quantum","Qiskit/qiskit-aer","1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad","Machine Code Generation, Optimizations","Crash - Application Error, Crash","Incorrect Application Logic, Overlooked Corner Case","3","https://github.com/Qiskit/qiskit-aer.git"
"11","Quantum","Qiskit/qiskit-ignis","3c59f82c11e87c071bc7e84240b50e2aa995281f","Testing","Failing Test","API Misuse - External","18","https://github.com/Qiskit/qiskit-ignis.git"
"110","Classical","PennyLaneAI/pennylane","c0d269e5f1eba2f9d033bd9b6a79c10a11f4228a","Quantum Abstractions, Machine Code Generation","Incorrect Output","Wrong Identifier","1","https://github.com/PennyLaneAI/pennylane.git"
"1102","Classical","ProjectQ-Framework/ProjectQ","722104c40e9526e92a71a2161cb5f2d8757bcbfe","Interface to Quantum Computer","Crash - OS/PL Error, Crash","API Outdated - External","1","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1103","Classical","ProjectQ-Framework/ProjectQ","81752a9880a6527fbd3b6ebf17ba00fc564979f3","Testing","Crash - OS/PL Error, Crash","Overlooked Corner Case, Misconfiguration, Misconfiguration - Testing","12","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1105","Classical","ProjectQ-Framework/ProjectQ","dd34daa10b91e68b89be14c6b375f869ac9d04a2","Quantum Abstractions","Incorrect Output","Incorrect Application Logic","7","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1107","Quantum","ProjectQ-Framework/ProjectQ","0e2113b64d616ec303bfff22a38af05a74583bbe","Quantum Abstractions","Crash - OS/PL Error, Crash","Wrong Concept, Overlooked Corner Case","15","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1108","Classical","ProjectQ-Framework/ProjectQ","75e7a7fefea232e61327e7d7a7b09345e494c655","Infrastructural Scripts and Glue Code","Incorrect Output","Syntax Error","1","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1110","Classical","ProjectQ-Framework/ProjectQ","81f94d479612418552d3b1d628d661dac6a1206c","Quantum Abstractions","Crash - OS/PL Error, Crash","Type Problem","1","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1111","Classical","ProjectQ-Framework/ProjectQ","144c8d1cc06214ff4be2a4ed79d5fa9753c8265b","Machine Code Generation","Crash - OS/PL Error, Crash","Overlooked Corner Case, Type Problem","9","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1112","Classical","ProjectQ-Framework/ProjectQ","88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Overlooked Corner Case, Type Problem","2","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1115","Quantum","ProjectQ-Framework/ProjectQ","c703417beb3c97f73514d6f39320251a1c7dadab","Machine Code Generation","Non-termination","Incorrect Application Logic","2","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1116","Quantum","ProjectQ-Framework/ProjectQ","62d3fb11578a06131b0105b220651520b2a7338b","Simulator","Unclear","Incorrect Application Logic","16","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1118","Classical","ProjectQ-Framework/ProjectQ","11f45873e20c2fa78fab2b59b5b460ac5f595fc6","Machine Code Generation","Crash - OS/PL Error, Crash","Overlooked Corner Case","6","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1121","Quantum","ProjectQ-Framework/ProjectQ","67ce24bd5d4aa06eb43c8e094c551c89567ef57d","Visualization and Plotting","Crash - OS/PL Error, Crash","Overlooked Corner Case","8","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1122","Classical","ProjectQ-Framework/ProjectQ","6ef8a0eeb06267b27bbbe9207b71013e9cca65d4","Tutorial and Examples","Crash - Application Error, Crash","Wrong Identifier","1","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1123","Classical","ProjectQ-Framework/ProjectQ","c15f3b25dd2efc426507360a19b6b1dded2ec37e","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Installation","3","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1126","Quantum","ProjectQ-Framework/ProjectQ","1c07475ad9dbc30baedddf78fddafa96112ffcdc","Testing","Failing Test","Incorrect Numerical Computation","16","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1139","Classical","microsoft/QuantumLibraries","cbf36bc4d8efcac9f4f20bbbc2b87ca302611c91","Classical Abstractions","Incorrect Output","Incorrect Numerical Computation, Imprecise Result","1","https://github.com/microsoft/QuantumLibraries.git"
"1149","Classical","microsoft/QuantumLibraries","7ccf6c2ccc8851a72e42aa4c6853fd243f1b27cc","Quantum State Evaluation","Crash - Application Error, Crash","Missing Error Handling","35","https://github.com/microsoft/QuantumLibraries.git"
"1156","Quantum","microsoft/QuantumLibraries","1c8620c10cfbf016d315668e22766c091502eea4","Tutorial and Examples","Unclear","Incorrect Circuit","1","https://github.com/microsoft/QuantumLibraries.git"
"1175","Classical","microsoft/qsharp-compiler","979c3ddb9e58e23dfa3f9ccf75c69b94041934aa","Intermediate Representation","Unclear","Type Problem, Misconfiguration, Misconfiguration - Building","10","https://github.com/microsoft/qsharp-compiler.git"
"1178","Quantum","microsoft/qsharp-compiler","7173815bb77d20b7cc7a342e8569b77b5e79e612","Machine Code Generation","Unclear","Incorrect Application Logic","14","https://github.com/microsoft/qsharp-compiler.git"
"1188","Classical","microsoft/qsharp-compiler","1ca68a9c43a9d6c05f7fb4cb1ce46295e70d6091","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Testing","4","https://github.com/microsoft/qsharp-compiler.git"
"1195","Classical","microsoft/qsharp-compiler","34a8c0b0903005d5d9a89b67ef0deec65cb6f0fd","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Overlooked Corner Case","6","https://github.com/microsoft/qsharp-compiler.git"
"1212","Classical","microsoft/qsharp-compiler","b1c3ec68f4bfae42eaaa3e2026f077332cccfa04","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Building","10","https://github.com/microsoft/qsharp-compiler.git"
"1216","Quantum","microsoft/qsharp-compiler","cb553b73f02833f7e9c74fa83ca787b1c0a7e603","Machine Code Generation","Crash - Application Error, Crash","Incorrect Application Logic","100+","https://github.com/microsoft/qsharp-compiler.git"
"1217","Quantum","microsoft/qsharp-compiler","c2f8e0e712fc698d93ef9b4991444874a7c04b50","Optimizations","Crash - Application Error, Crash","Overlooked Corner Case","70","https://github.com/microsoft/qsharp-compiler.git"
"1220","Quantum","microsoft/qsharp-compiler","d2f3de6cd0fd072569fc125cfe89941b0a40c968","Optimizations, Classical Abstractions","Incorrect Output","Incorrect Application Logic, Incorrect IR - Wrong Information","6","https://github.com/microsoft/qsharp-compiler.git"
"1221","Classical","microsoft/qsharp-compiler","3ffd626b249f836369054cc1aa9e5d2f8aadfe0b","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Incorrect Application Logic","100+","https://github.com/microsoft/qsharp-compiler.git"
"1222","Classical","microsoft/qsharp-compiler","1af31ba43561e9cbfa99be70e633f6d39a4fa71e","Machine Code Generation","Crash - OS/PL Error, Crash","Incorrect Application Logic","100+","https://github.com/microsoft/qsharp-compiler.git"
"1229","Classical","microsoft/qsharp-compiler","ed60c81e5192cddd5f7342c08a1c00d392473127","Intermediate Representation","Crash - OS/PL Error, Crash","Incorrect Application Logic, Overlooked Corner Case","88","https://github.com/microsoft/qsharp-compiler.git"
"1230","Classical","microsoft/qsharp-compiler","4cfa49817b99a1fd6a9c74f0ff3b1e84a84ac74c","Machine Code Generation","Crash - OS/PL Error, Crash","Incorrect Application Logic, Incorrect IR - Wrong Information","61","https://github.com/microsoft/qsharp-compiler.git"
"1233","Classical","microsoft/qsharp-compiler","2dbaea713e9fe1925a4b14483d37c0decaea6ba8","Machine Code Generation","Crash - Application Error, Crash","Incorrect Application Logic","3","https://github.com/microsoft/qsharp-compiler.git"
"1234","Classical","microsoft/qsharp-compiler","c3d1a09f70960d09af68e805294962e7e6c690d8","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Building, String Bug","1","https://github.com/microsoft/qsharp-compiler.git"
"1245","Quantum","QE-Lab/OpenQL","bc0d1c7981a71349d6b1fd816276df8645dfc010","Machine Code Generation","Incorrect Output","Incorrect Application Logic, Incorrect Scheduling","1","https://github.com/QE-Lab/OpenQL.git"
"1246","Classical","QE-Lab/OpenQL","a8494680613fc0912aa4bb9184d0a4d8b1f94a08","Infrastructural Scripts and Glue Code, Quantum Abstractions","Crash - OS/PL Error, Crash","Type Problem, Overlooked Corner Case, Misconfiguration, Misconfiguration - Building","1","https://github.com/QE-Lab/OpenQL.git"
"1254","Quantum","QE-Lab/OpenQL","9a443a2ddd15349d2750edcf5b9cbbbef82e5929","Machine Code Generation","Crash - OS/PL Error, Crash","Incorrect Application Logic","100+","https://github.com/QE-Lab/OpenQL.git"
"1257","Classical","QE-Lab/OpenQL","3615bb3bba9d1f664f485139e123073df3419967","Infrastructural Scripts and Glue Code, Testing","Other Non-functional","Syntax Error","1","https://github.com/QE-Lab/OpenQL.git"
"1261","Classical","QE-Lab/OpenQL","bbf64b674b88cc87e27c235b954f1a905a29ccfb","Infrastructural Scripts and Glue Code","Other Non-functional","API Outdated - External","9","https://github.com/QE-Lab/OpenQL.git"
"1263","Classical","QE-Lab/OpenQL","1636cd193eaa104f5cc118fc9a3eb58acfc8b579","Infrastructural Scripts and Glue Code, Testing","Unclear","Typo, String Bug","2","https://github.com/QE-Lab/OpenQL.git"
"1266","Classical","QE-Lab/OpenQL","48d7fe339f4ce00b9df31c04ef82b8cb30124035","Machine Code Generation, Classical Abstractions","Unclear","String Bug","2","https://github.com/QE-Lab/OpenQL.git"
"1270","Classical","QE-Lab/OpenQL","136270124a3c1777d996e0ae4914f503f7a2dadd","Infrastructural Scripts and Glue Code","Inefficiency","Misconfiguration, Misconfiguration - Building","100+","https://github.com/QE-Lab/OpenQL.git"
"1279","Classical","QE-Lab/OpenQL","e2410dfc0207373f23cc4c7ec767c4d0a7e9425b","Infrastructural Scripts and Glue Code, Testing","Compilation Error","Misconfiguration, Misconfiguration - Building","1","https://github.com/QE-Lab/OpenQL.git"
"128","Classical","PennyLaneAI/pennylane","c267cd0337414a6e3e8296629a8914032806cda7","Domain-specific Abstractions","Incorrect Output","Incorrect IR - Wrong Information, Overlooked Corner Case, Type Problem","6","https://github.com/PennyLaneAI/pennylane.git"
"1280","Classical","QE-Lab/OpenQL","0648b0e443d5645a27894f4a5ed7ec6cda0ffb85","Infrastructural Scripts and Glue Code, Testing","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Building","66","https://github.com/QE-Lab/OpenQL.git"
"1287","Classical","QE-Lab/OpenQL","39c9098df670306bb5a37c5006c7b9340252bef7","Machine Code Generation","Crash - OS/PL Error, Crash","Incorrect Application Logic, Incorrect Scheduling","1","https://github.com/QE-Lab/OpenQL.git"
"1288","Classical","QE-Lab/OpenQL","be54ea333f9b2fc76056bf48af4d638e4ebd2f78","Machine Code Generation","Incorrect Output","Overlooked Corner Case","9","https://github.com/QE-Lab/OpenQL.git"
"1327","Classical","quantumlib/Cirq","367485cfc7ff58eb99a84591f3b007365f6cad3b","Infrastructural Scripts and Glue Code","Unclear","Misconfiguration, Misconfiguration - Installation","2","https://github.com/quantumlib/Cirq.git"
"1331","Quantum","quantumlib/Cirq","342bcc3cfe455e403dbf51a3bf71e85211c3cf36","Optimizations","Incorrect Output","Incorrect Numerical Computation","6","https://github.com/quantumlib/Cirq.git"
"136","Quantum","PennyLaneAI/pennylane","1a48733e25caa373966a03dcc0d073420fcd5fed","Domain-specific Abstractions, Quantum Abstractions","Crash - Application Error, Crash","Incorrect IR - Missing Information","1","https://github.com/PennyLaneAI/pennylane.git"
"1372","Quantum","quantumlib/Cirq","94181e2784bf9a7b4259503db8a4f6808325bcf2","Quantum Abstractions, Visualization and Plotting","Incorrect Output","Incorrect Application Logic","12","https://github.com/quantumlib/Cirq.git"
"138","Quantum","PennyLaneAI/pennylane","ee9436ca19e40fa20fac83d1da3c4fd6571fb48c","Quantum State Evaluation","Crash - OS/PL Error, Crash","Overlooked Corner Case","24","https://github.com/PennyLaneAI/pennylane.git"
"140","Classical","PennyLaneAI/pennylane","ef87a8cf35accfbb556fab13210288f9c46b358b","Domain-specific Abstractions, Quantum Abstractions","Crash - OS/PL Error, Crash","API Outdated - Internal","100+","https://github.com/PennyLaneAI/pennylane.git"
"1417","Quantum","quantumlib/Cirq","a3ab283cecf50c9e74e6f5a586e07f63e55cac8a","Testing","Failing Test","Numerical Error, Flaky Test","2","https://github.com/quantumlib/Cirq.git"
"1464","Quantum","quantumlib/Cirq","4dae9b2c766fb9cd5a24bce655020b63c0ed47ac","Quantum State Evaluation","Incorrect Final Measurement, Incorrect Output","Overlooked Qubit Order","4","https://github.com/quantumlib/Cirq.git"
"1467","Classical","quantumlib/Cirq","875132cf97190c016023c20958f69a675376a160","Testing","Inefficiency","Incorrect Randomenss Handling","4","https://github.com/quantumlib/Cirq.git"
"1496","Quantum","quantumlib/Cirq","df52d1c6168d2f64cef4045b1c4a149c98e807d3","Machine Code Generation","Incorrect Output","Incorrect Numerical Computation","20","https://github.com/quantumlib/Cirq.git"
"150","Quantum","PennyLaneAI/pennylane","a4d7abdc047869a2d378e54c7b1cc0b036ae7625","Domain-specific Abstractions, Intermediate Representation","Incorrect Output","Incorrect IR - Missing Information","6","https://github.com/PennyLaneAI/pennylane.git"
"1518","Classical","quantumlib/Cirq","7c8c959e5e4b90f857cd1539279c51d30224033c","Intermediate Representation","Crash - OS/PL Error, Crash","API Outdated - Internal","5","https://github.com/quantumlib/Cirq.git"
"1537","Classical","quantumlib/Cirq","00f29904c6de484c6bd273fdca47bc80a0f84eba","Tutorial and Examples","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Installation","1","https://github.com/quantumlib/Cirq.git"
"154","Quantum","PennyLaneAI/pennylane","614db57b02536bb09fbfbae853ceff8878b928af","Domain-specific Abstractions, Intermediate Representation","Crash - Application Error, Crash","GPU related","15","https://github.com/PennyLaneAI/pennylane.git"
"1555","Classical","quantumlib/Cirq","18c97b3fc3f776a830b25871aabc2b6b1255b301","Interface to Quantum Computer, Quantum State Evaluation","Crash - OS/PL Error, Crash","Type Problem","1","https://github.com/quantumlib/Cirq.git"
"156","Classical","PennyLaneAI/pennylane","a5b9b23952b7cad3528d0b64f1084d0e40b563ab","Quantum Abstractions","Incorrect Output","Missing Implementation","6","https://github.com/PennyLaneAI/pennylane.git"
"1571","Classical","quantumlib/Cirq","51dc09663cc862b7a964aaab2c59952737a44b7b","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Installation","26","https://github.com/quantumlib/Cirq.git"
"159","Quantum","PennyLaneAI/pennylane","c9745b96717854aeba77ba9b43e8144115f63a28","Domain-specific Abstractions","Crash - OS/PL Error, Crash","API Outdated - Internal, Overlooked Corner Case","3","https://github.com/PennyLaneAI/pennylane.git"
"16","Quantum","Qiskit/qiskit-ignis","838bc0f750d63b4ea14789fd174f9a10f51f61c2","Testing","Failing Test","Incorrect Numerical Computation","5","https://github.com/Qiskit/qiskit-ignis.git"
"160","Quantum","PennyLaneAI/pennylane","382b4f58b3c22cc2cfbb84205087733228b54807","Domain-specific Abstractions","Failing Test","Incorrect Application Logic","43","https://github.com/PennyLaneAI/pennylane.git"
"1612","Quantum","quantumlib/Cirq","504bdbb9bb30249d85ecf7ba199b047150ee33f3","Optimizations","Other Non-functional","Overlooked Corner Case, Type Problem","8","https://github.com/quantumlib/Cirq.git"
"1633","Quantum","aws/amazon-braket-sdk-python","ab63ab5fd81d1432f178d6ec3c3a061adfe62145","Visualization and Plotting","Incorrect Visualization, Incorrect Output","Overlooked Corner Case","100+","https://github.com/aws/amazon-braket-sdk-python.git"
"1651","Quantum","aws/amazon-braket-sdk-python","29ccb5a17dbc05e2a5f8e9e5da23b9410eec1fbe","Quantum Abstractions","Incorrect Output","Incorrect IR - Wrong Information, Incorrect Application Logic, Qubit Count Related","8","https://github.com/aws/amazon-braket-sdk-python.git"
"1652","Classical","aws/amazon-braket-sdk-python","ef5e18ea5c88b5ee30d8012c790e06c78da810a8","Interface to Quantum Computer","Inefficiency","Incorrect Application Logic, Incorrect IR - Wrong Information","8","https://github.com/aws/amazon-braket-sdk-python.git"
"1659","Classical","aws/amazon-braket-sdk-python","bf724236a3fcfdc5bab1a3dddf28e983cbf90038","Interface to Quantum Computer","Crash - Application Error, Crash","Incorrect Resource Access","32","https://github.com/aws/amazon-braket-sdk-python.git"
"1660","Classical","aws/amazon-braket-sdk-python","5164b39363dd2d8d46152953e066c33789babe8c","Interface to Quantum Computer","Inefficiency","Overlooked Corner Case","29","https://github.com/aws/amazon-braket-sdk-python.git"
"1662","Classical","aws/amazon-braket-sdk-python","3ddde05e03643a867c6b4266d835d00ea57c9d67","Testing","Crash - OS/PL Error, Crash","API Misuse - Internal","1","https://github.com/aws/amazon-braket-sdk-python.git"
"1663","Classical","aws/amazon-braket-sdk-python","baaccfd47b4ca6a015e6446b580aef3584fede3d","Interface to Quantum Computer","Unclear","API Misuse - External, Wrong Concept","1","https://github.com/aws/amazon-braket-sdk-python.git"
"1667","Quantum","aws/amazon-braket-sdk-python","ba4cea0217ea96ea825533c6af01f24647bbda90","Interface to Quantum Computer","Incorrect Output","Overlooked Corner Case","20","https://github.com/aws/amazon-braket-sdk-python.git"
"1678","Quantum","aws/amazon-braket-sdk-python","9bdf26cb7e8a0973fe33e880cf0623189a33fe6b","Quantum Abstractions","Incorrect Output","Incorrect Application Logic, Qubit Count Related","100+","https://github.com/aws/amazon-braket-sdk-python.git"
"1680","Classical","aws/amazon-braket-sdk-python","74905c286284164d7a1e05c8c0775474dd093b9b","Quantum State Evaluation","Crash - OS/PL Error, Crash","Overlooked Corner Case","18","https://github.com/aws/amazon-braket-sdk-python.git"
"1682","Classical","aws/amazon-braket-sdk-python","cc704fa77d1570729f887a230ef9fc60bcff8df5","Quantum Abstractions","Incorrect Output","Incorrect IR - Wrong Information","8","https://github.com/aws/amazon-braket-sdk-python.git"
"1685","Classical","unitaryfund/mitiq","1d9640d6be47cd575034e243cfa12e8668cfc9ad","Quantum State Evaluation","Incorrect Output","Incorrect Numerical Computation, Imprecise Result","10","https://github.com/unitaryfund/mitiq.git"
"1687","Quantum","unitaryfund/mitiq","5fc12d5e4688ba4006eb4a733379b61c0e9c2b45","Quantum State Evaluation","Incorrect Output","Incorrect Numerical Computation, Imprecise Result","1","https://github.com/unitaryfund/mitiq.git"
"1688","Quantum","unitaryfund/mitiq","ce91935c9cc3107eb49f5aad32ded6bf689b777a","Testing","Incorrect Output","Incorrect Numerical Computation, Typo","1","https://github.com/unitaryfund/mitiq.git"
"1697","Classical","unitaryfund/mitiq","03e0d069752a1c92027b5988428ad08249bdd68b","Tutorial and Examples","Failing Test","Incorrect Randomenss Handling, Flaky Test","2","https://github.com/unitaryfund/mitiq.git"
"1702","Quantum","unitaryfund/mitiq","4d260bd6545c20f3b1fefc2c843fb67d1296cb45","Quantum State Evaluation","Incorrect Output","Overlooked Corner Case","2","https://github.com/unitaryfund/mitiq.git"
"1705","Classical","unitaryfund/mitiq","6f66672740d1322995916dbeb1ffc2f94403baac","Infrastructural Scripts and Glue Code","Incorrect Output","API Outdated - Internal","1","https://github.com/unitaryfund/mitiq.git"
"1721","Classical","aspuru-guzik-group/tequila","d08a1ab5af20263cd2985036ac14e2ed127894a3","Domain-specific Abstractions","Incorrect Output","Typo, Wrong Identifier","1","https://github.com/aspuru-guzik-group/tequila.git"
"1722","Quantum","aspuru-guzik-group/tequila","fd69d263e63ab8a7e05dfcb2776d486f2b964d07","Simulator","Unclear","Overlooked Corner Case","100+","https://github.com/aspuru-guzik-group/tequila.git"
"1723","Quantum","aspuru-guzik-group/tequila","30eba3a9bfcdf2062a2f7808c520d1a7c4bd1236","Quantum Abstractions","Crash - Application Error, Crash","Incorrect Application Logic","4","https://github.com/aspuru-guzik-group/tequila.git"
"1726","Quantum","aspuru-guzik-group/tequila","7f5a90d27de533c48637a0399f482390b7d6c0a1","Domain-specific Abstractions, Intermediate Representation","Unclear","Overlooked Qubit Order, Incorrect Application Logic","100+","https://github.com/aspuru-guzik-group/tequila.git"
"1727","Quantum","aspuru-guzik-group/tequila","4c08588ab73c8a23537596a728a4b8f489ec4048","Domain-specific Abstractions","Unclear","Incorrect IR - Wrong Information, Incorrect Application Logic","25","https://github.com/aspuru-guzik-group/tequila.git"
"1729","Quantum","aspuru-guzik-group/tequila","2790f8ee8bc6564a3482d0d2176c743ab5b9e3d7","Simulator, Quantum State Evaluation","Incorrect Final Measurement, Incorrect Output","Incorrect Application Logic","9","https://github.com/aspuru-guzik-group/tequila.git"
"1733","Quantum","aspuru-guzik-group/tequila","27ac6d02a4f7020a1fb2a2c5fa8562d77d1662fd","Simulator","Unclear","Wrong Concept, Incorrect IR - Wrong Information","1","https://github.com/aspuru-guzik-group/tequila.git"
"1734","Classical","aspuru-guzik-group/tequila","69c3d3fa43f4ebe79cc73cef79f3ee18677e2344","Simulator","Crash - Application Error, Crash","API Outdated - External","6","https://github.com/aspuru-guzik-group/tequila.git"
"1735","Classical","aspuru-guzik-group/tequila","2fab2353ed96acdc80bdc65eccac43031b98180b","Simulator, Quantum State Evaluation","Incorrect Final Measurement, Incorrect Output","Incorrect IR - Wrong Information","1","https://github.com/aspuru-guzik-group/tequila.git"
